symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BA,2026-01-29 22:00:00+00:00,234.23,234.49,234.23,234.49,3986.0,80.0,234.354667
BA,2026-01-29 22:30:00+00:00,234.31,234.49,234.3001,234.47,2429.0,40.0,234.434051
BA,2026-01-29 23:00:00+00:00,234.28,234.28,233.85,234.01,6342.0,164.0,234.043976
BA,2026-01-29 23:30:00+00:00,233.95,234.33,233.91,234.25,1096.0,24.0,234.018331
BA,2026-01-30 00:00:00+00:00,234.3768,234.44,234.0,234.0,3726.0,38.0,234.259359
BA,2026-01-30 00:30:00+00:00,233.9983,234.3718,233.9627,234.03,4400.0,64.0,234.134135
BA,2026-01-30 09:00:00+00:00,234.0,234.0,233.18,233.18,974.0,26.0,233.436057
BA,2026-01-30 09:30:00+00:00,232.91,232.99,232.6,232.7,2519.0,82.0,232.750337
BA,2026-01-30 10:00:00+00:00,232.53,232.69,232.48,232.69,950.0,27.0,232.58
BA,2026-01-30 10:30:00+00:00,232.86,232.86,232.86,232.86,262.0,10.0,232.86
BA,2026-01-30 11:00:00+00:00,232.57,232.75,232.57,232.75,323.0,8.0,232.66
BA,2026-01-30 11:30:00+00:00,232.99,233.8,232.99,233.8,1540.0,39.0,233.460549
BA,2026-01-30 12:00:00+00:00,233.22,233.8,233.1,233.55,4302.0,75.0,233.628735
BA,2026-01-30 12:30:00+00:00,233.73,233.75,233.4,233.42,2321.0,69.0,233.591013
BA,2026-01-30 13:00:00+00:00,233.55,234.0,232.44,233.5,22703.0,483.0,233.498464
BA,2026-01-30 13:30:00+00:00,233.28,233.28,233.0,233.18,4363.0,96.0,233.05056
BA,2026-01-30 14:00:00+00:00,233.34,233.5,233.0,233.18,5917.0,86.0,233.314024
BA,2026-01-30 14:30:00+00:00,233.5,234.5999,230.86,232.11,869621.0,14044.0,232.077309
BA,2026-01-30 15:00:00+00:00,232.105,233.0,230.89,231.71,625755.0,10911.0,232.012458
BA,2026-01-30 15:30:00+00:00,231.62,232.95,231.53,231.7125,276721.0,6648.0,232.180106
BA,2026-01-30 16:00:00+00:00,231.73,231.835,230.1101,230.195,380451.0,8137.0,230.940298
BA,2026-01-30 16:30:00+00:00,230.18,231.64,230.18,230.76,298471.0,6270.0,230.937695
BA,2026-01-30 17:00:00+00:00,230.78,231.058,230.03,230.925,274270.0,5884.0,230.594083
BA,2026-01-30 17:30:00+00:00,230.89,230.96,230.24,230.2495,195422.0,5221.0,230.608426
BA,2026-01-30 18:00:00+00:00,230.275,231.16,229.94,230.93,319448.0,7060.0,230.460043
BA,2026-01-30 18:30:00+00:00,231.0,232.47,230.24,232.24,285563.0,6054.0,231.30182
BA,2026-01-30 19:00:00+00:00,232.0875,234.3199,231.99,233.875,575910.0,9569.0,233.256163
BA,2026-01-30 19:30:00+00:00,233.875,234.57,233.28,234.008,413419.0,8669.0,233.931348
BA,2026-01-30 20:00:00+00:00,233.92,234.6299,233.4,233.605,449832.0,8699.0,234.055493
BA,2026-01-30 20:30:00+00:00,233.65,234.65,233.51,233.72,826092.0,17866.0,233.97169
BA,2026-01-30 21:00:00+00:00,233.84,233.85,232.9557,233.72,726868.0,162.0,233.719666
BA,2026-01-30 21:30:00+00:00,233.58,233.7,233.58,233.7,424.0,15.0,233.664072
BA,2026-01-30 22:00:00+00:00,233.3387,233.35,233.3387,233.35,451.0,8.0,233.3423
BA,2026-01-30 22:30:00+00:00,233.5514,233.5732,233.5514,233.5732,475.0,2.0,233.557137
BA,2026-01-30 23:00:00+00:00,233.6988,233.6988,233.6988,233.6988,1285.0,3.0,233.6988
BA,2026-01-30 23:30:00+00:00,233.41,233.41,233.41,233.41,201.0,2.0,233.41
BA,2026-01-31 00:00:00+00:00,233.41,233.417,233.21,233.21,1299.0,19.0,233.289099
BA,2026-01-31 00:30:00+00:00,233.0,233.5,232.81,232.9095,1208.0,17.0,232.957791
BA,2026-02-02 09:00:00+00:00,231.67,231.67,231.65,231.65,373.0,11.0,231.66
BA,2026-02-02 09:30:00+00:00,231.99,232.2,231.9,232.2,1779.0,35.0,232.005891
BA,2026-02-02 10:00:00+00:00,232.0,232.0,232.0,232.0,123.0,4.0,232.0
BA,2026-02-02 11:00:00+00:00,232.09,232.09,232.08,232.08,550.0,9.0,232.082857
BA,2026-02-02 11:30:00+00:00,232.54,232.54,232.54,232.54,125.0,2.0,232.54
BA,2026-02-02 12:00:00+00:00,232.8,233.37,232.8,233.37,1762.0,48.0,233.032804
BA,2026-02-02 12:30:00+00:00,233.4,233.6,233.4,233.6,529.0,10.0,233.512281
BA,2026-02-02 13:00:00+00:00,232.87,233.6738,231.91,233.5,11476.0,405.0,233.066498
BA,2026-02-02 13:30:00+00:00,233.5,233.9,233.5,233.74,4941.0,156.0,233.610239
BA,2026-02-02 14:00:00+00:00,234.22,234.38,233.562,233.58,5587.0,174.0,234.083998
