symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GOOG,2026-01-29 22:00:00+00:00,338.4,338.68,337.75,338.24,21626.0,642.0,338.496919
GOOG,2026-01-29 22:30:00+00:00,338.45,338.8,338.17,338.54,190836.0,371.0,338.477039
GOOG,2026-01-29 23:00:00+00:00,338.57,338.99,336.0,336.0,25508.0,579.0,337.602116
GOOG,2026-01-29 23:30:00+00:00,335.98,338.25,335.98,338.0,12487.0,310.0,337.855707
GOOG,2026-01-30 00:00:00+00:00,338.24,338.24,336.56,336.56,6550.0,145.0,337.39859
GOOG,2026-01-30 00:30:00+00:00,336.72,338.44,336.5,337.0,21753.0,289.0,337.013185
GOOG,2026-01-30 09:00:00+00:00,335.5,335.5,332.85,333.4,15446.0,638.0,334.088428
GOOG,2026-01-30 09:30:00+00:00,333.44,333.7,330.9,331.96,50909.0,1151.0,331.870199
GOOG,2026-01-30 10:00:00+00:00,332.0,333.3,332.0,332.95,21238.0,496.0,332.80452
GOOG,2026-01-30 10:30:00+00:00,332.93,333.69,332.8,333.39,5663.0,215.0,333.289231
GOOG,2026-01-30 11:00:00+00:00,333.36,334.3,333.34,334.23,8541.0,274.0,333.925196
GOOG,2026-01-30 11:30:00+00:00,334.23,336.15,334.21,335.86,17100.0,577.0,335.183204
GOOG,2026-01-30 12:00:00+00:00,336.04,336.4,335.7,336.17,27931.0,812.0,336.032958
GOOG,2026-01-30 12:30:00+00:00,336.33,337.22,335.0,335.25,37296.0,1051.0,336.162288
GOOG,2026-01-30 13:00:00+00:00,335.74,337.27,331.2608,335.45,139096.0,4500.0,335.397093
GOOG,2026-01-30 13:30:00+00:00,335.21,335.72,334.28,334.47,41333.0,1150.0,334.945317
GOOG,2026-01-30 14:00:00+00:00,334.3,335.33,333.48,334.35,62561.0,1657.0,334.548655
GOOG,2026-01-30 14:30:00+00:00,334.57,339.045,332.64,337.65,2185811.0,43769.0,335.972443
GOOG,2026-01-30 15:00:00+00:00,337.575,340.29,337.495,338.42,1763193.0,35480.0,338.874143
GOOG,2026-01-30 15:30:00+00:00,338.4,339.91,337.72,337.915,1280577.0,25303.0,338.671664
GOOG,2026-01-30 16:00:00+00:00,337.94,339.5,337.82,338.57,1004612.0,22964.0,338.427356
GOOG,2026-01-30 16:30:00+00:00,338.54,339.725,338.01,338.25,761960.0,16609.0,338.780611
GOOG,2026-01-30 17:00:00+00:00,338.28,338.84,337.2,338.84,868521.0,19636.0,338.003523
