symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMZN,2026-01-29 22:00:00+00:00,241.61,241.9,241.18,241.63,32831.0,926.0,241.579657
AMZN,2026-01-29 22:30:00+00:00,241.75,241.98,241.4245,241.7999,50220.0,404.0,241.761899
AMZN,2026-01-29 23:00:00+00:00,241.85,242.15,240.24,240.24,43208.0,1085.0,241.414605
AMZN,2026-01-29 23:30:00+00:00,240.99,241.91,240.6,241.48,18995.0,399.0,241.608109
AMZN,2026-01-30 00:00:00+00:00,241.33,241.58,240.7287,240.8,12876.0,439.0,241.196576
AMZN,2026-01-30 00:30:00+00:00,240.5,241.38,240.5,240.56,31706.0,501.0,240.729428
AMZN,2026-01-30 09:00:00+00:00,240.0,240.25,238.74,239.34,45362.0,1062.0,239.76524
AMZN,2026-01-30 09:30:00+00:00,239.3,239.55,238.77,239.15,9488.0,418.0,239.188763
AMZN,2026-01-30 10:00:00+00:00,239.35,239.66,239.35,239.35,3331.0,145.0,239.479289
AMZN,2026-01-30 10:30:00+00:00,239.59,239.71,239.23,239.23,3988.0,206.0,239.557855
AMZN,2026-01-30 11:00:00+00:00,239.21,239.66,239.18,239.49,4548.0,180.0,239.377665
AMZN,2026-01-30 11:30:00+00:00,239.65,240.3,239.47,240.18,10589.0,370.0,239.945586
AMZN,2026-01-30 12:00:00+00:00,240.09,240.7,239.78,239.79,18056.0,545.0,240.293634
AMZN,2026-01-30 12:30:00+00:00,239.98,240.3,239.48,239.56,19447.0,536.0,240.020658
AMZN,2026-01-30 13:00:00+00:00,240.18,240.7,237.87,239.24,174919.0,5793.0,239.533563
AMZN,2026-01-30 13:30:00+00:00,239.15,239.3296,238.55,238.8,68887.0,1489.0,238.928388
AMZN,2026-01-30 14:00:00+00:00,238.7,239.94,238.54,239.94,60533.0,1653.0,239.147548
AMZN,2026-01-30 14:30:00+00:00,239.89,242.4783,238.57,241.42,5228337.0,86716.0,240.696205
AMZN,2026-01-30 15:00:00+00:00,241.42,243.315,240.99,242.31,3080383.0,57697.0,242.402842
AMZN,2026-01-30 15:30:00+00:00,242.3,243.06,241.67,241.93,2113010.0,40679.0,242.30098
AMZN,2026-01-30 16:00:00+00:00,241.91,242.15,239.0,240.6601,2465458.0,44112.0,241.041629
AMZN,2026-01-30 16:30:00+00:00,240.6401,241.6,240.32,240.8901,1653221.0,31996.0,241.002784
AMZN,2026-01-30 17:00:00+00:00,240.905,241.11,239.8,240.72,2021188.0,30479.0,240.470894
AMZN,2026-01-30 17:30:00+00:00,240.69,240.91,239.33,239.46,1494189.0,27736.0,240.088934
AMZN,2026-01-30 18:00:00+00:00,239.41,239.72,237.77,238.64,2395244.0,36500.0,238.755459
AMZN,2026-01-30 18:30:00+00:00,238.66,240.75,238.3,240.555,3626375.0,32884.0,239.42626
AMZN,2026-01-30 19:00:00+00:00,240.57,241.31,240.16,240.18,1563141.0,29678.0,240.723358
AMZN,2026-01-30 19:30:00+00:00,240.175,240.84,239.69,239.74,1763971.0,30195.0,240.312711
AMZN,2026-01-30 20:00:00+00:00,239.74,240.28,239.5301,239.94,1709069.0,30395.0,239.899883
AMZN,2026-01-30 20:30:00+00:00,239.94,240.1341,237.64,239.26,5929836.0,87144.0,239.233052
