symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GM,2026-01-29 22:00:00+00:00,86.35,86.35,86.22,86.22,1252.0,56.0,86.327305
GM,2026-01-29 22:30:00+00:00,86.1997,86.22,86.1997,86.22,300.0,5.0,86.2067
GM,2026-01-29 23:00:00+00:00,86.2477,86.2477,86.22,86.22,1320.0,9.0,86.222131
GM,2026-01-29 23:30:00+00:00,86.4519,86.4519,86.4519,86.4519,400.0,1.0,86.4519
GM,2026-01-30 00:30:00+00:00,85.6972,86.4186,85.6972,86.18,1121.0,14.0,86.030692
GM,2026-01-30 10:30:00+00:00,85.69,85.75,85.69,85.75,631.0,26.0,85.72
GM,2026-01-30 12:30:00+00:00,85.99,85.99,85.99,85.99,411.0,3.0,85.99
GM,2026-01-30 13:00:00+00:00,85.26,86.04,85.26,85.7342,1277.0,46.0,85.88499
GM,2026-01-30 13:30:00+00:00,85.76,85.87,85.75,85.86,2351.0,41.0,85.798751
GM,2026-01-30 14:00:00+00:00,85.2,86.0,85.2,86.0,1109.0,27.0,85.825449
GM,2026-01-30 14:30:00+00:00,86.01,86.425,85.36,85.64,354742.0,6644.0,85.789433
GM,2026-01-30 15:00:00+00:00,85.69,85.74,85.06,85.11,465170.0,8330.0,85.472938
GM,2026-01-30 15:30:00+00:00,85.105,85.295,84.92,84.925,384632.0,6996.0,85.141026
GM,2026-01-30 16:00:00+00:00,84.915,84.97,84.355,84.4,413205.0,7693.0,84.655423
GM,2026-01-30 16:30:00+00:00,84.375,84.48,84.01,84.08,503143.0,9353.0,84.303142
GM,2026-01-30 17:00:00+00:00,84.12,84.36,83.84,84.14,451094.0,7975.0,84.055531
GM,2026-01-30 17:30:00+00:00,84.14,84.14,83.75,83.755,295979.0,7161.0,83.926215
GM,2026-01-30 18:00:00+00:00,83.755,83.98,83.53,83.84,186481.0,4801.0,83.739416
GM,2026-01-30 18:30:00+00:00,83.85,83.95,83.58,83.765,284948.0,5403.0,83.791862
GM,2026-01-30 19:00:00+00:00,83.77,83.93,83.59,83.59,377887.0,6631.0,83.84992
GM,2026-01-30 19:30:00+00:00,83.59,83.84,83.43,83.52,323783.0,5926.0,83.705481
GM,2026-01-30 20:00:00+00:00,83.53,84.0,83.41,83.81,641385.0,8816.0,83.673434
GM,2026-01-30 20:30:00+00:00,83.82,84.08,83.815,84.02,1223013.0,17999.0,83.998033
GM,2026-01-30 21:00:00+00:00,84.0,84.08,83.91,84.02,1694936.0,172.0,84.000063
GM,2026-01-30 21:30:00+00:00,84.01,84.01,84.0,84.0,1424.0,46.0,84.00164
GM,2026-01-30 22:00:00+00:00,83.96,83.96,83.96,83.96,350.0,6.0,83.96
GM,2026-01-30 22:30:00+00:00,83.95,83.95,83.83,83.83,408.0,2.0,83.863824
GM,2026-01-31 00:30:00+00:00,83.6,83.91,83.6,83.91,5704.0,8.0,83.625979
GM,2026-02-02 10:00:00+00:00,83.66,83.66,83.65,83.65,562.0,13.0,83.657368
GM,2026-02-02 11:00:00+00:00,83.85,83.85,83.85,83.85,154.0,7.0,83.85
GM,2026-02-02 11:30:00+00:00,83.78,83.78,83.78,83.78,210.0,5.0,83.78
GM,2026-02-02 13:00:00+00:00,84.01,84.01,82.99,83.9011,4000.0,252.0,83.63037
GM,2026-02-02 13:30:00+00:00,83.91,84.1,83.91,84.1,3577.0,37.0,84.005648
GM,2026-02-02 14:00:00+00:00,84.0644,84.28,84.0644,84.28,12697.0,71.0,84.10009
GM,2026-02-02 14:30:00+00:00,84.21,84.53,83.54,83.615,502244.0,7846.0,84.082198
GM,2026-02-02 15:00:00+00:00,83.64,83.82,83.14,83.165,456217.0,7632.0,83.511941
GM,2026-02-02 15:30:00+00:00,83.165,83.505,83.16,83.29,392548.0,6488.0,83.308858
GM,2026-02-02 16:00:00+00:00,83.3,83.425,83.1,83.31,507503.0,7866.0,83.301609
GM,2026-02-02 16:30:00+00:00,83.3,83.71,83.3,83.605,409138.0,5531.0,83.438299
GM,2026-02-02 17:00:00+00:00,83.59,84.08,83.59,84.0,232577.0,4849.0,83.883927
GM,2026-02-02 17:30:00+00:00,83.98,84.01,83.885,83.93,164454.0,4333.0,83.946881
GM,2026-02-02 18:00:00+00:00,83.93,84.08,83.85,84.03,259002.0,4878.0,83.990734
GM,2026-02-02 18:30:00+00:00,84.03,84.13,83.995,84.06,197329.0,4038.0,84.057562
GM,2026-02-02 19:00:00+00:00,84.07,84.36,83.97,84.26,281062.0,5742.0,84.227961
GM,2026-02-02 19:30:00+00:00,84.265,84.265,83.94,84.0,332716.0,7011.0,84.097106
GM,2026-02-02 20:00:00+00:00,84.04,84.1299,83.855,83.91,276262.0,6233.0,83.98998
GM,2026-02-02 20:30:00+00:00,83.9,84.33,83.8247,84.26,970668.0,16229.0,84.129212
GM,2026-02-02 21:00:00+00:00,84.27,84.27,83.5,84.14,1886263.0,124.0,84.26983
GM,2026-02-02 21:30:00+00:00,84.25,84.27,84.25,84.27,949.0,4.0,84.26787
GM,2026-02-02 22:00:00+00:00,84.13,84.15,84.13,84.15,5362.0,12.0,84.148992
GM,2026-02-02 23:00:00+00:00,84.25,84.28,84.0718,84.0718,517.0,10.0,84.216453
GM,2026-02-02 23:30:00+00:00,84.29,84.3,84.29,84.3,457.0,4.0,84.297807
GM,2026-02-03 00:00:00+00:00,84.3129,84.3129,84.3129,84.3129,120.0,1.0,84.3129
GM,2026-02-03 11:30:00+00:00,84.18,84.18,84.18,84.18,103.0,2.0,84.18
GM,2026-02-03 12:30:00+00:00,84.16,84.16,84.16,84.16,236.0,7.0,84.16
GM,2026-02-03 13:00:00+00:00,84.33,84.33,84.0576,84.26,3207.0,55.0,84.166665
GM,2026-02-03 13:30:00+00:00,84.25,84.4249,84.25,84.25,2740.0,17.0,84.307234
GM,2026-02-03 14:00:00+00:00,84.24,85.68,84.19,85.68,11417.0,138.0,85.133166
GM,2026-02-03 14:30:00+00:00,85.47,86.34,84.88,86.1092,666509.0,8465.0,85.642996
GM,2026-02-03 15:00:00+00:00,86.11,86.54,85.965,86.42,414591.0,7398.0,86.24827
GM,2026-02-03 15:30:00+00:00,86.41,86.63,86.25,86.52,280071.0,5870.0,86.480117
GM,2026-02-03 16:00:00+00:00,86.5,86.6,86.1,86.1,303037.0,5716.0,86.368028
GM,2026-02-03 16:30:00+00:00,86.11,86.4799,86.095,86.47,258659.0,5460.0,86.255367
GM,2026-02-03 17:00:00+00:00,86.47,86.5696,86.115,86.14,286657.0,5378.0,86.392535
GM,2026-02-03 17:30:00+00:00,86.14,86.23,85.94,85.95,276318.0,5613.0,86.058548
GM,2026-02-03 18:00:00+00:00,85.95,86.0,85.47,85.55,267766.0,5344.0,85.779307
GM,2026-02-03 18:30:00+00:00,85.55,86.02,85.55,85.78,290424.0,5849.0,85.855695
GM,2026-02-03 19:00:00+00:00,85.75,85.9198,85.38,85.67,460352.0,7938.0,85.711226
GM,2026-02-03 19:30:00+00:00,85.7,85.95,85.57,85.85,325101.0,5676.0,85.776749
GM,2026-02-03 20:00:00+00:00,85.83,86.13,85.69,85.79,475422.0,7786.0,85.946321
GM,2026-02-03 20:30:00+00:00,85.805,85.88,85.49,85.695,963073.0,15790.0,85.664134
GM,2026-02-03 21:00:00+00:00,85.71,85.99,85.33,85.99,1451795.0,105.0,85.710031
GM,2026-02-03 21:30:00+00:00,85.71,85.94,85.71,85.9,3499.0,48.0,85.894908
GM,2026-02-03 22:00:00+00:00,85.838,85.838,85.838,85.838,200.0,1.0,85.838
GM,2026-02-03 22:30:00+00:00,85.75,85.75,85.75,85.75,300.0,1.0,85.75
GM,2026-02-03 23:30:00+00:00,85.9,85.9,85.7928,85.7928,1133.0,7.0,85.807588
GM,2026-02-04 00:00:00+00:00,85.85,85.85,85.85,85.85,180.0,1.0,85.85
GM,2026-02-04 11:30:00+00:00,85.91,85.91,85.91,85.91,511.0,4.0,85.91
GM,2026-02-04 13:00:00+00:00,86.2,86.2,86.14,86.14,400.0,25.0,86.173684
GM,2026-02-04 13:30:00+00:00,86.18,86.18,86.01,86.01,383.0,17.0,86.066667
GM,2026-02-04 14:00:00+00:00,86.23,86.36,86.0,86.0,2318.0,63.0,86.246452
GM,2026-02-04 14:30:00+00:00,86.16,87.28,86.16,87.12,667086.0,10349.0,86.756917
GM,2026-02-04 15:00:00+00:00,87.12,87.59,86.91,86.97,515569.0,9203.0,87.298159
GM,2026-02-04 15:30:00+00:00,86.985,87.62,86.89,87.34,509068.0,9197.0,87.236964
GM,2026-02-04 16:00:00+00:00,87.34,87.53,87.0,87.315,433345.0,7695.0,87.212663
GM,2026-02-04 16:30:00+00:00,87.31,87.44,86.7,87.185,403309.0,7989.0,87.050402
GM,2026-02-04 17:00:00+00:00,87.21,87.24,86.56,86.57,547127.0,7508.0,86.932898
GM,2026-02-04 17:30:00+00:00,86.575,86.68,86.225,86.3,288244.0,6057.0,86.390828
GM,2026-02-04 18:00:00+00:00,86.295,86.33,85.82,85.98,352716.0,6087.0,86.088667
GM,2026-02-04 18:30:00+00:00,85.975,85.975,85.555,85.59,252228.0,5941.0,85.771043
GM,2026-02-04 19:00:00+00:00,85.6,85.665,85.32,85.49,295385.0,6075.0,85.474913
GM,2026-02-04 19:30:00+00:00,85.49,85.82,85.35,85.77,309138.0,7589.0,85.598264
GM,2026-02-04 20:00:00+00:00,85.77,86.46,85.76,86.125,599551.0,10201.0,86.161828
GM,2026-02-04 20:30:00+00:00,86.14,86.6,86.0,86.28,1486621.0,21012.0,86.24588
GM,2026-02-04 21:00:00+00:00,86.29,86.49,86.29,86.49,1950945.0,123.0,86.290012
GM,2026-02-04 21:30:00+00:00,85.8,86.29,85.8,86.29,708.0,6.0,86.203146
GM,2026-02-04 22:30:00+00:00,86.0,86.0,86.0,86.0,100.0,1.0,86.0
GM,2026-02-04 23:30:00+00:00,86.27,87.0115,86.27,87.0115,400.0,7.0,86.562727
GM,2026-02-05 00:00:00+00:00,86.0945,86.0945,86.0945,86.0945,129.0,1.0,86.0945
GM,2026-02-05 00:30:00+00:00,86.5,86.5,86.5,86.5,400.0,4.0,86.5
GM,2026-02-05 12:00:00+00:00,86.14,86.14,86.14,86.14,353.0,5.0,86.14
GM,2026-02-05 12:30:00+00:00,86.02,86.02,85.63,85.63,3061.0,104.0,85.878003
GM,2026-02-05 13:00:00+00:00,86.2,86.2,85.3636,85.9,6141.0,85.0,85.824882
GM,2026-02-05 13:30:00+00:00,85.89,85.89,85.61,85.88,3081.0,53.0,85.827599
GM,2026-02-05 14:00:00+00:00,85.59,85.84,85.4233,85.84,4551.0,39.0,85.608964
GM,2026-02-05 14:30:00+00:00,85.15,85.71,84.15,85.0,630469.0,9461.0,84.944026
GM,2026-02-05 15:00:00+00:00,85.0,85.16,83.84,84.0313,645014.0,10106.0,84.513903
GM,2026-02-05 15:30:00+00:00,84.055,84.41,83.83,84.41,413230.0,8697.0,84.009474
GM,2026-02-05 16:00:00+00:00,84.39,84.6159,84.19,84.37,434230.0,7589.0,84.345923
GM,2026-02-05 16:30:00+00:00,84.37,84.91,84.36,84.88,275300.0,6139.0,84.576181
GM,2026-02-05 17:00:00+00:00,84.895,85.001,84.33,84.79,342711.0,6560.0,84.655572
GM,2026-02-05 17:30:00+00:00,84.8,84.94,84.57,84.85,244539.0,5429.0,84.784942
GM,2026-02-05 18:00:00+00:00,84.82,84.83,84.12,84.39,217081.0,5029.0,84.407722
GM,2026-02-05 18:30:00+00:00,84.4,84.46,84.22,84.32,293804.0,5075.0,84.347499
GM,2026-02-05 19:00:00+00:00,84.31,84.71,84.2601,84.64,254633.0,5603.0,84.58359
GM,2026-02-05 19:30:00+00:00,84.64,84.64,84.2,84.28,368707.0,7442.0,84.354139
GM,2026-02-05 20:00:00+00:00,84.27,84.355,83.82,83.82,308821.0,7325.0,84.11292
GM,2026-02-05 20:30:00+00:00,83.82,83.845,83.27,83.29,1583270.0,22064.0,83.444393
GM,2026-02-05 21:00:00+00:00,83.3,83.71,83.1,83.58,2971767.0,294.0,83.300106
GM,2026-02-05 21:30:00+00:00,83.54,83.54,83.49,83.5,1938.0,35.0,83.500369
GM,2026-02-05 22:00:00+00:00,83.45,83.69,83.45,83.69,736.0,16.0,83.63
GM,2026-02-05 22:30:00+00:00,84.5,84.5,83.4,83.56,1445.0,15.0,83.69
GM,2026-02-05 23:00:00+00:00,83.56,83.56,83.37,83.37,563.0,10.0,83.463129
GM,2026-02-05 23:30:00+00:00,83.69,83.69,83.4,83.4,1160.0,5.0,83.428032
GM,2026-02-06 00:00:00+00:00,83.4,83.41,83.25,83.25,2912.0,53.0,83.375191
GM,2026-02-06 00:30:00+00:00,83.3,83.31,83.27,83.27,8511.0,24.0,83.308029
GM,2026-02-06 09:00:00+00:00,83.37,83.6,83.14,83.6,8594.0,64.0,83.368345
GM,2026-02-06 09:30:00+00:00,83.61,83.61,83.61,83.61,1905.0,17.0,83.61
GM,2026-02-06 10:00:00+00:00,83.62,83.62,83.62,83.62,519.0,16.0,83.62
GM,2026-02-06 11:00:00+00:00,83.44,83.44,83.44,83.44,182.0,2.0,83.44
GM,2026-02-06 11:30:00+00:00,83.51,83.52,83.5,83.51,1217.0,19.0,83.512749
GM,2026-02-06 13:00:00+00:00,83.76,84.05,83.31,84.05,3820.0,91.0,83.734584
GM,2026-02-06 13:30:00+00:00,84.5049,84.5049,84.5049,84.5049,500.0,1.0,84.5049
GM,2026-02-06 14:00:00+00:00,84.0,84.25,83.6,83.8,3381.0,69.0,83.739462
GM,2026-02-06 14:30:00+00:00,83.54,84.48,83.07,83.33,932905.0,14430.0,83.569835
GM,2026-02-06 15:00:00+00:00,83.33,83.335,82.64,83.03,908894.0,14005.0,82.959807
GM,2026-02-06 15:30:00+00:00,83.02,83.58,82.98,83.32,534751.0,8852.0,83.327233
GM,2026-02-06 16:00:00+00:00,83.3,83.555,83.15,83.515,405891.0,8430.0,83.367681
GM,2026-02-06 16:30:00+00:00,83.515,84.03,83.5,83.99,399668.0,7721.0,83.854036
GM,2026-02-06 17:00:00+00:00,83.98,84.275,83.95,84.15,297870.0,6567.0,84.09412
GM,2026-02-06 17:30:00+00:00,84.17,84.48,84.07,84.3799,209917.0,5165.0,84.282918
GM,2026-02-06 18:00:00+00:00,84.36,84.5769,84.325,84.41,242547.0,5366.0,84.42959
