symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MSFT,2026-01-29 22:00:00+00:00,435.55,435.92,433.0,433.1987,212434.0,10013.0,434.569182
MSFT,2026-01-29 22:30:00+00:00,433.2,434.35,433.198,433.8959,153305.0,5251.0,433.936542
MSFT,2026-01-29 23:00:00+00:00,433.87,433.87,432.5031,432.56,110485.0,5619.0,433.202034
MSFT,2026-01-29 23:30:00+00:00,432.57,433.78,432.57,433.75,53283.0,3096.0,433.204233
MSFT,2026-01-30 00:00:00+00:00,433.7499,433.95,433.5,433.52,69472.0,3236.0,433.769548
MSFT,2026-01-30 00:30:00+00:00,433.67,433.95,433.54,433.6399,62201.0,3100.0,433.729185
MSFT,2026-01-30 09:00:00+00:00,432.85,434.0,429.23,430.0,82362.0,5417.0,431.170888
MSFT,2026-01-30 09:30:00+00:00,430.36,431.18,428.91,430.39,41557.0,2710.0,429.994595
MSFT,2026-01-30 10:00:00+00:00,430.34,432.17,430.34,431.58,34607.0,1882.0,431.413598
MSFT,2026-01-30 10:30:00+00:00,431.49,433.0,431.42,431.9,26022.0,1692.0,432.183151
MSFT,2026-01-30 11:00:00+00:00,431.9,435.0,431.9,434.85,58053.0,2617.0,433.678719
MSFT,2026-01-30 11:30:00+00:00,435.45,437.68,434.2,436.5,123008.0,5718.0,436.34556
MSFT,2026-01-30 12:00:00+00:00,436.41,436.52,435.3,435.36,129220.0,5230.0,435.845913
MSFT,2026-01-30 12:30:00+00:00,435.3,436.8,435.3,436.5,99563.0,4640.0,436.338871
MSFT,2026-01-30 13:00:00+00:00,430.82,438.06,429.0,436.66,570632.0,29938.0,435.556276
MSFT,2026-01-30 13:30:00+00:00,436.51,437.38,435.01,435.51,212205.0,8761.0,436.274681
MSFT,2026-01-30 14:00:00+00:00,435.5,439.5,433.91,439.19,478402.0,12890.0,437.202936
MSFT,2026-01-30 14:30:00+00:00,439.07,439.6,432.41,435.56,8377978.0,201767.0,435.448251
MSFT,2026-01-30 15:00:00+00:00,435.525,437.2999,432.7001,432.875,4603896.0,126303.0,435.507551
MSFT,2026-01-30 15:30:00+00:00,432.85,434.53,430.8706,431.0398,3420038.0,107574.0,432.928612
MSFT,2026-01-30 16:00:00+00:00,431.105,431.629,429.55,431.2501,4249398.0,120800.0,430.300368
MSFT,2026-01-30 16:30:00+00:00,431.22,432.65,430.08,430.6588,3291772.0,76499.0,431.179397
MSFT,2026-01-30 17:00:00+00:00,430.6,432.45,429.36,432.07,3343964.0,62746.0,430.672082
MSFT,2026-01-30 17:30:00+00:00,432.05,432.63,430.9701,431.74,1632511.0,52097.0,432.029301
MSFT,2026-01-30 18:00:00+00:00,431.74,432.48,430.39,431.1,1615127.0,49503.0,431.636801
MSFT,2026-01-30 18:30:00+00:00,431.1,431.54,429.51,430.82,2383315.0,55570.0,430.539637
MSFT,2026-01-30 19:00:00+00:00,430.8385,431.89,430.45,431.07,1593881.0,46512.0,430.956657
MSFT,2026-01-30 19:30:00+00:00,431.05,431.19,429.59,429.75,2643624.0,52122.0,430.439497
MSFT,2026-01-30 20:00:00+00:00,429.76,429.795,426.45,427.26,4483837.0,90021.0,427.72996
MSFT,2026-01-30 20:30:00+00:00,427.27,430.5,427.19,430.36,5543432.0,132323.0,428.778904
MSFT,2026-01-30 21:00:00+00:00,430.39,430.39,429.11,429.79,8718117.0,4647.0,430.275512
MSFT,2026-01-30 21:30:00+00:00,429.6276,430.29,429.32,429.83,142550.0,2968.0,429.557838
MSFT,2026-01-30 22:00:00+00:00,429.7487,430.1,429.59,429.74,451517.0,2079.0,429.794246
MSFT,2026-01-30 22:30:00+00:00,429.61,429.75,428.74,429.0799,107428.0,2085.0,429.054852
MSFT,2026-01-30 23:00:00+00:00,429.1,429.35,429.1,429.33,25982.0,1079.0,429.235828
MSFT,2026-01-30 23:30:00+00:00,429.35,429.68,429.16,429.1695,18249.0,1161.0,429.487846
MSFT,2026-01-31 00:00:00+00:00,429.1699,429.3,428.501,428.61,32295.0,1552.0,428.908643
MSFT,2026-01-31 00:30:00+00:00,428.5292,429.0,428.5199,428.7701,27664.0,1209.0,428.782858
MSFT,2026-02-02 09:00:00+00:00,426.0,429.0,425.03,426.7,44600.0,2810.0,426.246186
MSFT,2026-02-02 09:30:00+00:00,426.7,427.6,426.7,426.97,23606.0,1216.0,427.25726
MSFT,2026-02-02 10:00:00+00:00,427.02,427.35,426.55,426.7,18514.0,956.0,426.806576
MSFT,2026-02-02 10:30:00+00:00,426.94,427.1,426.31,426.31,9711.0,790.0,426.715697
MSFT,2026-02-02 11:00:00+00:00,426.5,427.3,426.25,427.3,11475.0,770.0,426.861247
MSFT,2026-02-02 11:30:00+00:00,427.38,427.45,426.79,427.1,18057.0,1145.0,427.229845
MSFT,2026-02-02 12:00:00+00:00,427.1,427.81,426.98,427.79,47416.0,2508.0,427.310955
MSFT,2026-02-02 12:30:00+00:00,427.79,428.49,427.0,427.98,57220.0,2723.0,428.053525
MSFT,2026-02-02 13:00:00+00:00,427.02,428.5,422.0,427.3075,303577.0,17935.0,426.117733
MSFT,2026-02-02 13:30:00+00:00,427.44,428.25,426.88,427.66,109726.0,3907.0,427.539236
MSFT,2026-02-02 14:00:00+00:00,427.54,430.4,427.0,430.4,151801.0,6931.0,429.142808
MSFT,2026-02-02 14:30:00+00:00,430.42,430.5,424.51,429.5,6112431.0,180423.0,427.732833
MSFT,2026-02-02 15:00:00+00:00,429.62,430.736,427.57,427.76,2624371.0,89487.0,429.38452
MSFT,2026-02-02 15:30:00+00:00,427.77,428.19,426.81,427.05,2781269.0,79236.0,427.30549
MSFT,2026-02-02 16:00:00+00:00,427.06,427.6,425.74,425.82,1980483.0,70926.0,426.648467
MSFT,2026-02-02 16:30:00+00:00,425.79,426.25,424.2,424.7006,2501785.0,86111.0,425.004645
MSFT,2026-02-02 17:00:00+00:00,424.705,425.62,424.3,424.9,2110768.0,68303.0,424.808134
